"Chromosome","p.KS","p.J","Num_CNV","SNP_CNV_Association","Sample"
"1","0.0909090909090909","0.0909090909090909","2","/","SNP_mDIV_A1_SNP09_319_111109"
"2","0.0909090909090909","0.0909090909090909","2","/","SNP_mDIV_A1_SNP09_319_111109"
"3","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_A1_SNP09_319_111109"
"4","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_A1_SNP09_319_111109"
"5","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_A1_SNP09_319_111109"
"6","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"7","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"8","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"9","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"10","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"11","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_A1_SNP09_319_111109"
"12","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"13","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"14","0.0909090909090909","0.0909090909090909","2","/","SNP_mDIV_A1_SNP09_319_111109"
"15","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"16","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"17","0.0909090909090909","0.0909090909090909","2","/","SNP_mDIV_A1_SNP09_319_111109"
"18","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_A1_SNP09_319_111109"
"19","N","N","0","No_CNVs","SNP_mDIV_A1_SNP09_319_111109"
"1","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"2","0.0909090909090909","0.0909090909090909","4","/","SNP_mDIV_C4_SNP09_300_102709"
"3","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"4","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"5","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"6","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"7","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"8","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"9","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"10","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"11","<","<","2","< Min_SNP_Cutoff","SNP_mDIV_C4_SNP09_300_102709"
"12","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"13","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"14","0.0909090909090909","0.0909090909090909","2","/","SNP_mDIV_C4_SNP09_300_102709"
"15","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"16","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
"17","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"18","0.0909090909090909","0.0909090909090909","1","/","SNP_mDIV_C4_SNP09_300_102709"
"19","N","N","0","No_CNVs","SNP_mDIV_C4_SNP09_300_102709"
